test_name	path	status	failure_kind	message	category	subcategory	features	includes	native_harness	elapsed_us	rss_delta_kb
built_ins_RegExp_lookBehind_alternations_js	ref/test262/test/built-ins/RegExp/lookBehind/alternations.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [xabcd, ] and expected [xabcd, cd, ] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	9304	768
built_ins_RegExp_lookBehind_back_references_js	ref/test262/test/built-ins/RegExp/lookBehind/back-references.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [a, a] and expected [b, b, bb] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	11587	1168
built_ins_RegExp_lookBehind_back_references_to_captures_js	ref/test262/test/built-ins/RegExp/lookBehind/back-references-to-captures.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [d] and expected [d, C] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	7865	976
built_ins_RegExp_lookBehind_captures_js	ref/test262/test/built-ins/RegExp/lookBehind/captures.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [def] and expected [def, c] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	11802	1312
built_ins_RegExp_lookBehind_captures_negative_js	ref/test262/test/built-ins/RegExp/lookBehind/captures-negative.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [ab] and expected [de, undefined] should have the same contents. 	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	7690	784
built_ins_RegExp_lookBehind_do_not_backtrack_js	ref/test262/test/built-ins/RegExp/lookBehind/do-not-backtrack.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /(?<=([abc]+)).\1/: invalid perl operator: (?<	built_ins	RegExp	regexp-lookbehind		0	7877	816
built_ins_RegExp_lookBehind_greedy_loop_js	ref/test262/test/built-ins/RegExp/lookBehind/greedy-loop.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [c] and expected [c, bbbbbb] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	7224	752
built_ins_RegExp_lookBehind_misc_js	ref/test262/test/built-ins/RegExp/lookBehind/misc.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??def??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	14371	1296
built_ins_RegExp_lookBehind_mutual_recursive_js	ref/test262/test/built-ins/RegExp/lookBehind/mutual-recursive.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [aabc] and expected [cacb, a, ] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	10058	656
built_ins_RegExp_lookBehind_negative_js	ref/test262/test/built-ins/RegExp/lookBehind/negative.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??def??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	10262	816
