test_name	path	status	failure_kind	message	category	subcategory	features	includes	native_harness	elapsed_us	rss_delta_kb
built_ins_RegExp_lookBehind_alternations_js	ref/test262/test/built-ins/RegExp/lookBehind/alternations.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [xabcd, ] and expected [xabcd, cd, ] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	37075	688
built_ins_RegExp_lookBehind_back_references_js	ref/test262/test/built-ins/RegExp/lookBehind/back-references.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [a, a] and expected [b, b, bb] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	48552	1328
built_ins_RegExp_lookBehind_back_references_to_captures_js	ref/test262/test/built-ins/RegExp/lookBehind/back-references-to-captures.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [d] and expected [d, C] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	58593	864
built_ins_RegExp_lookBehind_captures_js	ref/test262/test/built-ins/RegExp/lookBehind/captures.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [def] and expected [def, c] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	81144	1264
built_ins_RegExp_lookBehind_captures_negative_js	ref/test262/test/built-ins/RegExp/lookBehind/captures-negative.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [ab] and expected [de, undefined] should have the same contents. 	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	29076	624
built_ins_RegExp_lookBehind_do_not_backtrack_js	ref/test262/test/built-ins/RegExp/lookBehind/do-not-backtrack.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /(?<=([abc]+)).\1/: invalid perl operator: (?<	built_ins	RegExp	regexp-lookbehind		0	107682	704
built_ins_RegExp_lookBehind_greedy_loop_js	ref/test262/test/built-ins/RegExp/lookBehind/greedy-loop.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [c] and expected [c, bbbbbb] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	78909	544
built_ins_RegExp_lookBehind_misc_js	ref/test262/test/built-ins/RegExp/lookBehind/misc.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??def??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	39628	992
built_ins_RegExp_lookBehind_mutual_recursive_js	ref/test262/test/built-ins/RegExp/lookBehind/mutual-recursive.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [aabc] and expected [cacb, a, ] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	28809	1104
built_ins_RegExp_lookBehind_negative_js	ref/test262/test/built-ins/RegExp/lookBehind/negative.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??def??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	51495	784
built_ins_RegExp_lookBehind_nested_lookaround_js	ref/test262/test/built-ins/RegExp/lookBehind/nested-lookaround.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [ab] and expected [ef] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	29417	816
built_ins_RegExp_lookBehind_simple_fixed_length_js	ref/test262/test/built-ins/RegExp/lookBehind/simple-fixed-length.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??b??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	40350	1040
built_ins_RegExp_lookBehind_sliced_strings_js	ref/test262/test/built-ins/RegExp/lookBehind/sliced-strings.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??,abcdefg??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind		0	42065	816
built_ins_RegExp_lookBehind_start_of_line_js	ref/test262/test/built-ins/RegExp/lookBehind/start-of-line.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??def??, ??null??) to be true	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	83228	1168
built_ins_RegExp_lookBehind_sticky_js	ref/test262/test/built-ins/RegExp/lookBehind/sticky.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [def] and expected [def, abc] should have the same contents. #1	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	25696	6736
built_ins_RegExp_lookBehind_word_boundary_js	ref/test262/test/built-ins/RegExp/lookBehind/word-boundary.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual [cde] and expected [def] should have the same contents. #2	built_ins	RegExp	regexp-lookbehind	compareArray.js	0	41515	912
built_ins_RegExp_lookahead_quantifier_match_groups_js	ref/test262/test/built-ins/RegExp/lookahead-quantifier-match-groups.js	FAIL	assert	exit code 1: Uncaught Test262Error: Actual argument shouldn't be nullish. unquantified	built_ins	RegExp		compareArray.js	0	41545	736
built_ins_RegExp_named_groups_functional_replace_global_js	ref/test262/test/built-ins/RegExp/named-groups/functional-replace-global.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??0??, ??2??) to be true	built_ins	RegExp	regexp-named-groups		0	66311	1200
built_ins_RegExp_named_groups_functional_replace_non_global_js	ref/test262/test/built-ins/RegExp/named-groups/functional-replace-non-global.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??0??, ??1??) to be true	built_ins	RegExp	regexp-named-groups		0	32840	1104
built_ins_RegExp_named_groups_groups_object_js	ref/test262/test/built-ins/RegExp/named-groups/groups-object.js	FAIL	assert	exit code 1: Uncaught Test262Error: Expected SameValue(??1??, ??0??) to be true	built_ins	RegExp	regexp-named-groups	propertyHelper.js	0	126090	3280
built_ins_RegExp_named_groups_groups_object_subclass_js	ref/test262/test/built-ins/RegExp/named-groups/groups-object-subclass.js	FAIL	runtime	exit code 1: Uncaught TypeError: Cannot read properties of undefined (reading 'a')	built_ins	RegExp	regexp-named-groups		0	54001	1392
